7.22,7.24,6.89,6.46,5.88,6.58,7.44,7.20
8.81,8.11,7.00,8.04,7.42,9.52,9.04,9.11
8.41,7.22,5.96,6.36,6.21,6.79,8.24,8.50
8.67,9.33,7.50,8.14,7.88,8.79,9.28,8.88
8.30,8.63,7.50,7.93,7.17,8.67,8.84,8.78
6.30,6.31,6.36,6.75,7.00,7.37,7.40,7.60
8.56,8.93,7.18,8.43,7.17,9.08,8.73,9.11
7.60,8.40,6.80,7.70,7.80,7.50,8.40,8.36
6.44,6.25,6.30,6.98,6.57,8.02,7.84,8.33
6.90,7.30,6.04,7.30,7.70,8.90,8.40,8.80
8.63,8.33,8.04,8.96,8.42,9.73,8.24,9.36
8.41,8.33,8.21,7.54,8.00,7.34,8.00,8.20
8.48,8.41,7.71,7.50,7.35,7.20,7.48,8.88
7.04,7.52,6.46,5.93,6.12,7.02,6.81,7.11
8.00,8.24,7.32,9.11,9.00,10.00,9.04,9.50
